,customer_id,probability,actual_churn,predicted_churn
0,0003-MKNFE,0.4177569638857165,0,0
1,0013-MHZWF,0.3193530968518348,0,0
2,0015-UOCOJ,0.4091090204517403,0,0
3,0023-HGHWL,0.7350090445372792,1,1
4,0032-PGELS,0.3171546223314776,1,0
5,0067-DKWBL,0.4690338319162257,1,0
6,0076-LVEPS,0.13824649112953782,0,0
7,0082-LDZUE,0.473476101694836,0,0
8,0096-BXERS,0.3677483930223573,0,0
9,0096-FCPUF,0.23788675071984786,0,0
10,0106-GHRQR,0.36320569306186934,0,0
11,0117-LFRMW,0.07186392425011125,1,0
12,0128-MKWSG,0.16057110561783272,0,0
13,0156-FVPTA,0.13826909265094092,1,0
14,0191-ZHSKZ,0.36675183112950743,0,0
15,0212-ISBBF,0.5860357821795497,0,1
16,0222-CNVPT,0.206223238940243,0,0
17,0224-HJAPT,0.3520425853707039,1,0
18,0224-RLWWD,0.5653108404429713,0,1
19,0228-MAUWC,0.1664823001777647,0,0
20,0248-IPDFW,0.5157307720858029,0,1
21,0257-KXZGU,0.09554085324092683,0,0
22,0260-ZDLGK,0.4042564807637752,1,0
23,0274-JKUJR,0.5058263351577243,0,1
24,0277-BKSQP,0.445483713961991,0,0
25,0282-NVSJS,0.4587775550108322,0,0
26,0285-INHLN,0.09711752559320089,0,0
27,0289-IVARM,0.07935972072554943,0,0
28,0292-WEGCH,0.14002461812554295,0,0
29,0295-QVKPB,0.3158949999769453,0,0
30,0311-QYWSS,0.3294119750298886,0,0
31,0314-TKOSI,0.23372692779264043,0,0
32,0319-QZTCO,0.38700607211793053,0,0
33,0322-CHQRU,0.36098896499688554,1,0
34,0322-YINQP,0.37657326308848005,1,0
35,0356-ERHVT,0.294425655326882,0,0
36,0374-AACSZ,0.2863822259157508,0,0
37,0374-IOEGQ,0.3468362072157081,0,0
38,0375-HVGXO,0.7216378552022071,1,1
39,0377-JBKKT,0.1095595061797597,0,0
40,0384-RVBPI,0.15424450744166496,0,0
41,0396-UKGAI,0.10338785501332386,0,0
42,0411-EZJZE,0.582311762583853,0,1
43,0415-MOSGF,0.36803288348654034,1,0
44,0420-BWTPW,0.4013520187384272,1,0
45,0423-UDIJQ,0.28089722113868243,0,0
46,0430-IHCDJ,0.35709574930665056,0,0
47,0440-QEXBZ,0.13088518360778822,0,0
48,0447-BEMNG,0.12738541091338595,1,0
49,0463-ZSDNT,0.38389068143182425,0,0
50,0516-WJVXC,0.17563552497856055,1,0
51,0523-VNGTF,0.1909467695882675,0,0
52,0541-FITGH,0.4868284346620293,0,0
53,0550-DCXLH,0.3101781035221429,0,0
54,0567-GGCAC,0.2301035831783686,0,0
55,0584-BJQGZ,0.1365631314432208,0,0
56,0587-DMGBH,0.3086287362283467,1,0
57,0601-WZHJF,0.5951712386337064,1,1
58,0603-OLQDC,0.4002059903932749,0,0
59,0612-RTZZA,0.642577665620627,1,1
60,0616-ATFGB,0.6530659635552833,1,1
61,0621-TWIEM,0.37419894384648417,1,0
62,0623-GDISB,0.2905430069217197,0,0
63,0623-IIHUG,0.5168288441965037,1,1
64,0655-YDGFJ,0.0960552415411475,0,0
65,0661-XEYAN,0.7373264994929516,1,1
66,0668-OGMHD,0.2321966790448128,0,0
67,0674-EYYZV,0.563243220485485,0,1
68,0696-UKTOX,0.0978151025954585,0,0
69,0699-NDKJM,0.13573568110230255,0,0
70,0701-TJSEF,0.2131681833970918,0,0
71,0708-LGSMF,0.4114237277953316,0,0
72,0708-SJDIS,0.13572476828020058,0,0
73,0719-SYFRB,0.21190406424772038,1,0
74,0733-VUNUW,0.15572390523320537,1,0
75,0734-OXWBT,0.37180449354048106,0,0
76,0742-MOABM,0.25531636721446116,1,0
77,0746-JTRFU,0.6351168871137731,1,1
78,0749-IRGQE,0.6913075790626728,0,1
79,0774-IFUVM,0.28158238908706174,0,0
80,0778-NELLA,0.5424542210978693,1,1
81,0786-VSSUD,0.6453704428906495,1,1
82,0799-DDIHE,0.20797469688539058,0,0
83,0804-XBFBV,0.365577006325675,0,0
84,0807-ZABDG,0.22487224644014756,1,0
85,0811-GSDTP,0.3304508547387926,0,0
86,0817-HSUSE,0.5482340294866033,0,1
87,0820-FNRNX,0.22017670236939663,0,0
88,0822-GAVAP,0.7176716278164129,1,1
89,0822-QGCXA,0.3431447006804213,0,0
90,0823-HSCDJ,0.3489041146803048,1,0
91,0836-SEYLU,0.4362279680412079,1,0
92,0841-NULXI,0.7306896488261027,1,1
93,0842-IWYCP,0.04826824399051835,0,0
94,0851-DFJKB,0.12150608242002636,0,0
95,0856-NAOES,0.40803071121318285,0,0
96,0867-LDTTC,0.31276890279613234,0,0
97,0870-VEMYL,0.1244498812515529,1,0
98,0872-JCPIB,0.19612665097314416,0,0
99,0887-HJGAR,0.47942873744610043,1,0
100,0909-SDHNU,0.322185413625855,0,0
101,0928-JMXNP,0.7118255811471879,0,1
102,0929-HYQEW,0.36250011900001833,0,0
103,0939-EREMR,0.14636130283565613,0,0
104,0953-LGOVU,0.26270363372249195,0,0
105,0975-VOOVL,0.5006281736253955,0,1
106,0980-PVMRC,0.35025729308297043,0,0
107,0988-JRWWP,0.5381611132743906,0,1
108,0991-BRRFB,0.15451791989630875,1,0
109,0997-YTLNY,0.11588881396975836,0,0
110,0999-QXNSA,0.46078384061583283,0,0
111,1024-GUALD,0.6568129425421644,1,1
112,1036-GUDCL,0.04407086203763909,0,0
113,1049-FYSYG,0.3642950189980398,0,0
114,1078-TDCRN,0.7161784525029359,0,1
115,1089-HDMKP,0.29964309403193273,0,0
116,1097-FSPVW,0.043664542758558286,0,0
117,1100-DDVRV,0.6480471398211141,0,1
118,1101-SSWAG,0.37455554403620944,0,0
119,1104-FEJAM,0.20643201055839266,0,0
120,1114-CENIM,0.05233814922493139,1,0
121,1120-BMWUB,0.21660323977474794,1,0
122,1125-SNVCK,0.08420649650965059,0,0
123,1134-YWTYF,0.1501749483213687,0,0
124,1142-WACZW,0.32774889978945615,1,0
125,1163-ONYEY,0.10239497792641669,0,0
126,1202-KKGFU,0.10047860953629109,0,0
127,1205-WNWPJ,0.38818697301575417,1,0
128,1208-NBVFH,0.2395039923741254,0,0
129,1213-NGCUN,0.23674864806602594,1,0
130,1215-VFYVK,0.38751381766500165,0,0
131,1226-UDFZR,0.4512905274189752,1,0
132,1230-QAJDW,0.47279705240058384,0,0
133,1247-QBVSH,0.06646591050513995,0,0
134,1251-KRREG,0.48882804174773453,1,0
135,1260-TTRXI,0.4269098780340312,1,0
136,1261-FWTTE,0.48185609066764257,0,0
137,1271-SJBGZ,0.600363091190221,1,1
138,1304-BCCFO,0.5858639016560235,0,1
139,1310-QRITU,0.3322177849012556,0,0
140,1322-AGOQM,0.07433752166109657,1,0
141,1324-NLTJE,0.1934219804908746,1,0
142,1329-VHWNP,0.37206635481266187,0,0
143,1334-FJSVR,0.6434490212737323,1,1
144,1335-NTIUC,0.5456625207625903,0,1
145,1352-VHKAJ,0.150653760128818,0,0
146,1353-LJWEM,0.2664131464860638,0,0
147,1355-KUSBG,0.30228947864003125,0,0
148,1356-MKYSK,0.2254966485396062,0,0
149,1357-MVDOZ,0.3240421941414098,0,0
150,1360-RCYRT,0.18203190735043476,0,0
151,1373-ORVIZ,0.3638400284177946,1,0
152,1376-HHBDV,0.14183187070184225,0,0
153,1395-OFUWC,0.07076378934481864,0,0
154,1399-UBQIU,0.5516215031575163,0,1
155,1406-PUQVY,0.40887896558103737,0,0
156,1410-RSCMR,0.21010646021947116,0,0
157,1432-FPAXX,0.30035536712397437,1,0
158,1436-ZMJAN,0.4716706672153473,0,0
159,1442-BQPVU,0.3753284392021721,0,0
160,1452-XRSJV,0.04138060127696054,0,0
161,1453-RZFON,0.2428757480011489,0,0
162,1456-TWCGB,0.3253322366199854,0,0
163,1465-LNTLJ,0.40688192979818333,0,0
164,1471-GIQKQ,0.3579603617869684,0,0
165,1478-VPOAD,0.3656573914332514,0,0
166,1492-QGCLU,0.07504304134400261,0,0
167,1496-GGSUK,0.7369962345410254,1,1
